15
1 2 3
1 3 20
1 4 5
1 5 7
1 6 10
1 7 4
1 8 5
1 9 11
1 10 13
1 11 12
1 12 5
1 13 23
1 14 6
1 15 9
2 3 15
2 4 10
2 5 3
2 6 19
2 7 2
2 8 15
2 9 4
2 10 10
2 11 4
2 12 8
2 13 14
2 14 6
2 15 1
3 4 4
3 5 7
3 6 12
3 7 1
3 8 10
3 9 5
3 10 11
3 11 34
3 12 5
3 13 7
3 14 16
3 15 9
4 5 1
4 6 12
4 7 8
4 8 11
4 9 7
4 10 1
4 11 17
4 12 3
4 13 10
4 14 7
4 15 3
5 6 1
5 7 3
5 8 12
5 9 20
5 10 12
5 11 12
5 12 3
5 13 4
5 14 7
5 15 8
6 7 3
6 8 11
6 9 17
6 10 3
6 11 9
6 12 10
6 13 6
6 14 19
6 15 1
7 8 14
7 9 20
7 10 2
7 11 3
7 12 4
7 13 9
7 14 20
7 15 32
8 9 15
8 10 6
8 11 22
8 12 3
8 13 6
8 14 9
8 15 16
9 10 8
9 11 13
9 12 4
9 13 46
9 14 2
9 15 10
10 11 4
10 12 7
10 13 8
10 14 22
10 15 6
11 12 5
11 13 9
11 14 12
11 15 16
12 13 4
12 14 7
12 15 9
13 14 5
13 15 11
14 15 16
